City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,haiku-pauwela,20.9219,-156.3051,26.01,80,20,10.8,US,1690432461
331,kerikeri,-35.2268,173.9474,14.95,84,21,1.34,NZ,1690432462
332,viqueque,-8.8673,126.3658,24.34,75,89,2.58,TL,1690432462
333,kidal,18.4411,1.4078,31.58,39,68,4.04,ML,1690432462
334,gubakha,58.8386,57.5532,19.81,58,58,1.85,RU,1690432462
335,le port,-20.9373,55.2919,21.39,86,11,3.32,RE,1690432463
336,vegreville,53.5001,-112.0518,13.17,94,95,4.63,CA,1690432463
337,robore,-18.3333,-59.75,18.39,71,89,2.18,BO,1690432463
338,constitucion,-35.3333,-72.4167,8.81,79,41,2.57,CL,1690432257
339,finote selam,10.7,37.2667,15.79,95,98,0.75,ET,1690432464
340,cambria,35.5641,-121.0808,26.41,74,10,2.49,US,1690432464
341,moanda,-1.5575,13.2178,20.98,87,37,0.73,GA,1690432465
342,plattsburgh,44.6995,-73.4529,25.42,79,0,0.45,US,1690432465
343,gisborne,-38.6533,178.0042,9.92,75,67,4.2,NZ,1690432465
344,kone,-21.0595,164.8658,22.49,49,1,4.71,NC,1690432465
345,sur,22.5667,59.5289,30.36,65,84,3.36,OM,1690432466
346,ballina,-28.8667,153.5667,19.88,53,9,2.62,AU,1690432466
347,xai-xai,-25.0519,33.6442,14.15,85,0,3.59,MZ,1690432466
348,villa gesell,-37.2639,-56.973,5.03,87,35,5.92,AR,1690432203
349,mil'kovo,55.6078,37.7956,18.08,72,62,0.94,RU,1690432467
350,san carlos del zulia,9.0,-71.9135,25.21,87,100,1.12,VE,1690432467
351,sisimiut,66.9395,-53.6735,4.53,93,57,3.71,GL,1690432278
352,ratnagiri,16.9833,73.3,25.11,93,100,6.5,IN,1690432468
353,tralee,52.2704,-9.7026,15.53,99,100,2.63,IE,1690432468
354,nadym,65.5333,72.5167,24.45,52,17,3.42,RU,1690432469
355,sanctuary point,-35.1114,150.629,21.29,40,0,3.93,AU,1690432469
356,tazovsky,67.4667,78.7,19.93,65,11,1.43,RU,1690432469
357,cidreira,-30.1811,-50.2056,13.56,84,32,5.44,BR,1690432470
358,bontang,0.1333,117.5,29.65,67,74,5.19,ID,1690432470
359,taoudenni,22.6783,-3.9836,35.59,30,55,3.46,ML,1690432470
360,ghat,24.9647,10.1728,28.64,12,2,0.23,LY,1690432471
